month,County,Count,TotalHU,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotalDuration,MaxDuration,MinDuration,AvgDuration,MedDuration,PctCustomerOut,PctDuration
Aug,San Bernardino,11,735705,150521,2502503010,8132740,1564680,1254368430,227500273.63636363,6699,4094,68512,13683.727272727272,3550,1410,60,322.72727272727275,100,0.05114855818568584,0.16999999999999998
Aug,San Diego,1,1233344,45980,17150000,17150000,17150000,17150000,17150000,45980,45980,45980,45980,80,80,80,80,80,0.009320189663224534,0
Aug,San Francisco,5,408176,28983,23505570,4486240,750240,11182770,4701114,4099,2085,10705,5796.6,470,170,60,94,80,0.017751533652150053,0.02
Aug,San Joaquin,10,252576,98123,59730940,3465420,853080,15921010,5973094,3012,1904,67403,9812.299999999997,1200,250,60,120,105,0.09712225231217535,0.06
Aug,San Luis Obispo,15,123678,37937,161518440,2837100,448640,79352280,10767896,2151,702,5539,2529.133333333333,2810,630,60,187.33333333333334,130,0.07668502077976681,0.13
Aug,San Mateo,6,281148,77780,325068540,15589560,2549360,210663360,54178090,7438.5,2342,36692,12963.333333333332,1450,480,110,241.66666666666666,220,0.06916286084197647,0.06999999999999999
Aug,Santa Barbara,9,160661,35381,1242495450,5083380,450060,1164134720,138055050,1749,935,20650,3931.222222222222,2960,1120,60,328.8888888888889,180,0.05505536502324771,0.13999999999999999
Aug,Santa Clara,16,681145,166609,9422313080,23937690,1302120,6303438550,588894567.5,7818,3618,27369,10413.0625,6720,1970,60,420,210,0.06115034243810055,0.32
Aug,Santa Cruz,28,106148,171243,102183307110,12076670,271460,92135142000,3649403825.357143,6325,554,43628,6115.821428571428,26380,13200,60,942.1428571428573,210,0.4033118852922335,1.25
Aug,Shasta,12,78241,51727,6516523760,21153775,256020,5987066800,543043646.6666666,1352,582,17405,4310.583333333334,8660,4420,60,721.6666666666667,270,0.16528099078488262,0.41000000000000003
Aug,Siskiyou,7,24388,43200,53132900,5246200,833580,19662720,7590414.285714285,3550,1030,22064,6171.428571428572,1040,250,70,148.57142857142858,160,0.44284074134820406,0.05
Aug,Solano,31,161786,82253,5737084060,9622320,470820,4556574720,185067227.74193546,1448,879,12615,2653.3225806451615,12840,2380,60,414.19354838709677,220,0.1271015415425315,0.61
Aug,Sonoma,25,206362,125171,1986790920,3350340,373320,1646010580,79471636.80000001,1549,1035,42616,5006.840000000001,5780,1220,60,231.2,160,0.15164007908432753,0.27
Aug,Stanislaus,1,186003,1695,3790650,3790650,3790650,3790650,3790650,1695,1695,1695,1695,150,150,150,150,150,0.0022781890614667504,0.01
Aug,Sutter,3,34675,19256,628091880,1050480,698760,626342640,209363960,1792,935,16529,6418.666666666666,830,660,80,276.6666666666667,90,0.13883201153568853,0.04
Aug,Tehama,14,27858,32313,62013000,3274905,199080,13242880,4429500,929.5,545,7859,2308.0714285714284,2120,250,60,151.42857142857142,150,0.2899795390911049,0.1
Aug,Trinity,1,8951,735,2124150,2124150,2124150,2124150,2124150,735,735,735,735,170,170,170,170,170,0.020528432577365658,0.01
Aug,Tulare,12,151433,34543,53564830,2695995,789300,14131780,4463735.833333333,1863.5,790,9975,2878.583333333333,1870,370,70,155.83333333333334,115,0.05702686996889714,0.09
Aug,Tuolumne,20,32009,52772,922167160,5141345,258720,484740440,46108358,2816,528,4154,2638.6,4980,1090,70,249,155,0.412165328501359,0.24
Aug,Ventura,8,290889,27359,82215050,1800160,962040,66666240,10276881.25,2986,1861,5418,3419.875,1090,480,60,136.25,85,0.023513264509830212,0.05
Aug,Yolo,10,79713,21980,459263770,4369375,664160,420280600,45926377,1723,907,4886,2198,3790,2360,60,379,150,0.0689348036079435,0.18
Aug,Yuba,4,29477,16406,99120670,2601320,295470,93622560,24780167.5,1354,603,13095,4101.5,780,480,60,195,120,0.13914238219628863,0.04
Dec,Alameda,5,619166,26870,50968620,2189670,1287600,41904500,10193724,4471,3124,10653,5374,550,250,60,110,80,0.010849271439323219,0.03
Dec,Amador,10,19079,16723,163623700,3829105,1065720,95031300,16362370,1537,561,3009,1672.3,2560,590,60,256,195,0.21912836102521097,0.12
Dec,Butte,8,88341,40685,386433780,3441025,345870,350448800,48304222.5,3608,604,15177,5085.625,1600,520,60,200,130,0.1151362334589828,0.08
Dec,Calaveras,5,29159,8848,119101440,1321670,348160,106345210,23820288,1326,551,3541,1769.6,1420,890,70,284,100,0.07585994032717171,0.06999999999999999
Dec,Colusa,2,8220,4875,39466800,19733400,607590,38859210,19733400,2437.5,775,4100,2437.5,480,390,90,240,240,0.14826642335766424,0.02
Dec,Contra Costa,4,421474,12796,15362450,3128770,948780,8156130,3840612.5,2679.5,2274,5163,3199,470,190,60,117.5,110,0.0075900292781998415,0.02
Dec,Del Norte,3,11590,7344,66772710,5671840,1178310,59922560,22257570,2406,2270,2668,2448,870,640,70,290,160,0.15841242450388265,0.04
Dec,El Dorado,15,93927,41399,205821580,2126880,281040,124520320,13721438.666666666,1624,514,10586,2759.9333333333334,2680,640,60,178.66666666666669,110,0.11018929594259372,0.13
Dec,Fresno,8,338718,25428,23879100,1635405,637320,13040700,2984887.5,2348.5,1771,8723,3178.5,720,170,60,90,80,0.018767824562025047,0.03
Dec,Glenn,1,11185,563,360320,360320,360320,360320,360320,563,563,563,563,80,80,80,80,80,0.012583817612874386,0
Dec,Humboldt,12,63591,26127,310034720,3435150,198180,227163150,25836226.666666664,1726.5,546,5033,2177.25,3160,1350,60,263.33333333333337,140,0.10271500684059065,0.15
Dec,Imperial,3,58658,2577,11464200840,2764130170,1238838500,7461232170,3821400280,797,794,986,859,19510,9690,3950,6503.333333333333,5870,0.010983156602679942,0.9299999999999999
Dec,Kern,24,303102,114290,3443135160,6033275,558420,1386990340,143463965,3455,1552,16155,4762.083333333334,7530,1800,60,313.75,110,0.09426694644047219,0.36
Dec,Kings,7,47140,34068,53480060,2140260,479250,34821800,7640008.571428572,3481,676,11695,4866.857142857143,890,330,60,127.14285714285714,90,0.18067458633856598,0.04
Dec,Lake,7,35492,14999,13647800,1084230,287280,4198140,1949685.7142857143,1667,798,4168,2142.714285714286,680,180,60,97.14285714285714,80,0.10565056914234193,0.03
Dec,Lassen,2,12710,4888,46600260,23300130,12140100,34460160,23300130,2444,724,4164,2444,890,480,410,445,445,0.0961447678992919,0.04
Dec,Los Angeles,5,3571222,247106,2279329500,30146700,12048800,1894893660,455865900,35011,19803,114006,49421.2,1450,890,60,290,80,0.01729842054064407,0.06999999999999999
Dec,Madera,7,51491,8487,42975350,534520,181440,37062480,6139335.714285714,1163,504,1998,1212.4285714285713,990,520,60,141.42857142857142,70,0.04120623021498903,0.05
Dec,Marin,20,112601,48176,72569640,1620665,442560,27914640,3628482,2272,650,4680,2408.8,2580,460,60,129,90,0.10696174989564924,0.12
Dec,Mariposa,5,10512,5037,15287990,1141920,527000,11503830,3057598,760,527,2294,1007.4,810,390,60,162,120,0.11979166666666667,0.04
Dec,Mendocino,11,41054,14783,89679040,958800,268440,55803020,8152640,1218,559,2436,1343.909090909091,2270,910,60,206.36363636363637,110,0.090021678764554,0.11
Dec,Merced,11,88113,16723,23043330,1416200,533000,6763200,2094848.1818181819,1108,533,4697,1520.2727272727273,1350,210,70,122.72727272727273,110,0.047447595700974884,0.06
Dec,Mono,1,14215,625,225000,225000,225000,225000,225000,625,625,625,625,60,60,60,60,60,0.010991909954273654,0
Dec,Monterey,25,142847,61445,187554890,2281950,459540,108317080,7502195.599999999,1767,769,6868,2457.8,3930,820,60,157.2,120,0.10753638508334092,0.19
Dec,Napa,9,54759,17405,143604560,3983280,239280,62706960,15956062.22222222,1674,512,4718,1933.888888888889,2480,640,60,275.55555555555554,280,0.0794618236271663,0.12
Dec,Nevada,3,54813,6780,62829560,17920760,2744320,42164480,20943186.666666668,1894,1072,3814,2260,1020,640,160,340,220,0.030923321109955666,0.05
Dec,Orange,3,1112447,18558,8316200,2366760,2113440,3836000,2772066.6666666665,6080,5871,6607,6186,200,80,60,66.66666666666667,60,0.004170535764849921,0.01
Dec,Placer,4,172645,10073,22702140,5691675,363240,10955550,5675535,1471,1375,5756,2518.25,580,270,60,145,125,0.014586289785397782,0.03
Dec,Plumas,5,16137,6998,86160430,882490,211140,81763760,17232086,1398,594,2505,1399.6,1430,1040,60,286,70,0.10841544277127099,0.06999999999999999
Dec,Riverside,13,867637,169199,12255330220,43476480,2146560,4422463920,942717709.2307693,8428,5567,25743,13015.307692307691,7060,1840,60,543.0769230769231,160,0.04875281943946604,0.33999999999999997
Dec,Sacramento,4,585981,62011,27921660,6242340,2556540,12880440,6980415,14783,5233,27212,15502.75,350,120,60,87.5,85,0.026456062568581577,0.02
Dec,San Benito,1,20246,1947,1176800,1176800,1176800,1176800,1176800,1947,1947,1947,1947,80,80,80,80,80,0.024041786031808753,0
Dec,San Bernardino,13,735705,204012,3690911700,131329500,5641020,1582548000,283916284.61538464,15228,5305,33541,15693.23076923077,5830,1040,110,448.46153846153845,340,0.06932534099944951,0.27999999999999997
Dec,San Diego,12,1233344,253593,31574960270,1004786650,8326000,8818883760,2631246689.166667,11064,7007,73789,21132.75,10750,2320,100,895.8333333333333,690,0.05140354191531316,0.51
Dec,San Francisco,6,408176,24713,35473890,2525280,1162630,14099400,5912315,3940.5,2373,5966,4118.833333333333,730,220,70,121.66666666666667,80,0.015136240249304222,0.03
Dec,San Joaquin,11,252576,26309,230707490,2364390,586260,188973820,20973408.18181818,1952,1551,5469,2391.7272727272725,2110,860,60,191.81818181818184,110,0.026040676865577095,0.1
Dec,San Luis Obispo,14,123678,29303,550851140,1220750,312690,463811280,39346510,1457,634,6640,2093.0714285714284,3300,1140,60,235.71428571428572,100,0.059232442309869175,0.16
Dec,San Mateo,15,281148,73931,47546010,2351920,509760,16547720,3169734,2752,1418,33771,4928.733333333334,1360,150,60,90.66666666666667,80,0.06574028625492623,0.06
Dec,Santa Barbara,20,160661,94897,206104280,3060285,369840,71390720,10305214,1445.5,834,56656,4744.850000000001,3340,480,60,167,130,0.14766651520904264,0.16
Dec,Santa Clara,5,681145,31372,86104890,8150800,5211000,52660940,17220978,7096,3655,8024,6274.4,820,310,120,164,130,0.011514435252405876,0.04
Dec,Santa Cruz,25,106148,56672,658472300,3611720,347580,499258440,26338892,1857,582,8617,2266.88,6020,1410,60,240.8,150,0.13347401740965445,0.29
Dec,Shasta,17,78241,18457,216308270,2489400,257040,47394110,12724015.88235294,998,545,2041,1085.7058823529412,5020,720,60,295.29411764705884,170,0.058974834166229985,0.24
Dec,Sierra,4,2401,3252,38803600,3152980,344960,32152680,9700900,695,626,1236,813,1040,540,70,260,215,0.33860891295293627,0.05
Dec,Siskiyou,6,24388,8155,15830590,1567200,343980,6034030,2638431.6666666665,1295,630,2331,1359.1666666666667,870,290,60,145,120,0.08359644087256028,0.04
Dec,Solano,10,161786,35038,143751500,2694065,959000,61651440,14375150,3315,1019,7952,3503.8,2160,720,60,216,110,0.05414250924060178,0.1
Dec,Sonoma,25,206362,86101,139991320,1545570,421080,26651580,5599652.799999999,2734,1108,11690,3444.04,2950,290,60,118,100,0.10430820596815304,0.13999999999999999
Dec,Stanislaus,1,186003,2422,871920,871920,871920,871920,871920,2422,2422,2422,2422,60,60,60,60,60,0.003255323838862814,0
Dec,Sutter,3,34675,5775,15831950,5944050,1051820,8836080,5277316.666666667,1726,899,3150,1925,500,240,110,166.66666666666666,150,0.0416366258111031,0.02
Dec,Tehama,7,27858,7172,76416690,634880,182160,55799240,10916670,959,506,2324,1024.5714285714287,1500,490,60,214.28571428571428,80,0.06436212219111206,0.06999999999999999
Dec,Trinity,1,8951,595,719950,719950,719950,719950,719950,595,595,595,595,110,110,110,110,110,0.016618254943581722,0.01
Dec,Tulare,12,151433,16861,85340330,1043005,291240,43566240,7111694.166666668,1103.5,810,2596,1405.0833333333333,1960,620,60,163.33333333333331,75,0.027835742539604975,0.09
Dec,Tuolumne,3,32009,2948,6618920,1048320,184320,5386280,2206306.6666666665,536,512,1900,982.6666666666666,370,170,60,123.33333333333333,140,0.023024774282233124,0.02
Dec,Ventura,26,290889,300342,31165258600,6170885,1432260,14474060130,1198663792.3076923,4089.5,1569,133824,11551.615384615385,12590,3210,60,484.23076923076917,135,0.25812423295483844,0.6
Dec,Yolo,11,79713,27466,64985510,7760480,277560,10939320,5907773.636363637,1819,721,5898,2496.909090909091,1950,360,60,177.27272727272728,180,0.08614027824821548,0.09
Dec,Yuba,4,29477,10781,6818200,1238700,260680,4080120,1704550,764,532,8721,2695.25,450,220,70,112.5,80,0.09143569562709909,0.02
Feb,Alameda,6,619166,91463,4295637110,5050040,1588920,4274504860,715939518.3333334,8648.5,3326,55380,15243.833333333334,1730,1340,60,288.33333333333337,80,0.03692991863248305,0.08
Feb,Alpine,2,1822,2225,11797540,5898770,4224740,7572800,5898770,1112.5,869,1356,1112.5,580,320,260,290,290,0.30529637760702527,0.03
Feb,Amador,11,19079,39481,7083477660,20349000,782480,5940702240,643952514.5454546,1380,533,12520,3589.181818181818,9160,4070,80,832.7272727272726,420,0.5173358142460297,0.44
Feb,Butte,13,88341,21719,269391940,5768910,297080,133246620,20722456.92307692,1374,607,4717,1670.6923076923076,3860,1170,70,296.9230769230769,190,0.061463533353708924,0.18
Feb,Calaveras,16,29159,38099,4758494770,6337500,306660,3943745320,297405923.125,1416,606,9898,2381.1875,10250,4190,60,640.625,270,0.3266487190918756,0.49
Feb,Contra Costa,4,421474,39492,250459650,61101475,3017300,125239400,62614912.5,8434.5,3058,19565,9873,1290,550,100,322.5,320,0.023424932498801825,0.06
