NAME,NAMELSAD,wui_area,cdp_area,pct_wui_area
Danville,Danville town,37968058.74564385,46821256,81
Daphnedale Park,Daphnedale Park CDP,2110831.4355250094,2142441,99
Darwin,Darwin CDP,1028961.130779382,3484705,30
Davenport,Davenport CDP,3047590.0041452115,7367925,41
Day Valley,Day Valley CDP,28776955.379368484,47922346,60
Deer Park,Deer Park CDP,14254847.564265732,14549696,98
Del Dios,Del Dios CDP,1031789.0465466545,1061683,97
Del Monte Forest,Del Monte Forest CDP,4875838.8929891065,20787965,23
Del Rey Oaks,Del Rey Oaks city,931684.6289192378,2730932,34
Delano,Delano city,47901.742035431154,38114812,0
Delleker,Delleker CDP,2350120.8545704605,7164105,33
Derby Acres,Derby Acres CDP,2290868.174562759,9274814,25
Descanso,Descanso CDP,17130344.232225526,49613062,35
Desert Center,Desert Center CDP,6054221.942783025,78799210,8
Desert Edge,Desert Edge CDP,5636106.90877924,5872955,96
Desert Hot Springs,Desert Hot Springs city,25322261.83832298,78402268,32
Desert Shores,Desert Shores CDP,1668404.061593235,1809312,92
Desert View Highlands,Desert View Highlands CDP,934217.156185592,1142187,82
Diablo,Diablo CDP,3471780.73515049,3531932,98
Diablo Grande,Diablo Grande CDP,9542187.974350182,11132191,86
Diamond Bar,Diamond Bar city,28946897.49758627,38514313,75
Diamond Springs,Diamond Springs CDP,42028094.31366245,43097228,98
Dillon Beach,Dillon Beach CDP,2260478.0008533527,7727875,28.999999999999996
Dinuba,Dinuba city,109010.46443656065,16859536,1
Discovery Bay,Discovery Bay CDP,1997230.815600161,14482205,14.000000000000002
Dixon Lane-MeadowCreek,Dixon Lane-MeadowCreek CDP,1317179.4188120894,8701384,15
Dobbins,Dobbins CDP,15895096.343065843,20051346,79
Dogtown,Dogtown CDP,24466959.788837917,33584172,73
Dollar Point,Dollar Point CDP,3944713.3703569886,4234923,93
Dorrington,Dorrington CDP,10069569.647231393,10600543,95
Dorris,Dorris city,1108895.1977197211,1819374,61
Douglas City,Douglas City CDP,14760989.00302222,78799839,19
Downieville,Downieville CDP,1778256.3061986743,8237935,22
Doyle,Doyle CDP,11091889.157925213,15817150,70
Drytown,Drytown CDP,2944412.923269218,8432611,35
Duarte,Duarte city,5380781.52779476,17376396,31
Dublin,Dublin city,27878984.393732112,39442773,71
Ducor,Ducor CDP,96007.94090644336,1442359,7.000000000000001
Dunnigan,Dunnigan CDP,2798328.270372295,13551020,21
Dunsmuir,Dunsmuir city,2273465.6086106854,4155427,55.00000000000001
Durham,Durham CDP,13511847.069965724,211567384,6
Dustin Acres,Dustin Acres CDP,3642792.4275212465,9521683,38
Dutch Flat,Dutch Flat CDP,1515064.2221792531,1534848,99
Eagleville,Eagleville CDP,2525306.0770708853,2525306,100
East Bakersfield,East Bakersfield CDP,16160.111670953227,2038622,1
East Foothills,East Foothills CDP,5499638.755140944,5512919,100
East Hemet,East Hemet CDP,9553647.347927269,13454514,71
East Niles,East Niles CDP,11818795.232800238,14134961,84
East Oakdale,East Oakdale CDP,3373399.793557867,13966924,24
East Orosi,East Orosi CDP,45418.82612717538,642248,7.000000000000001
East Pasadena,East Pasadena CDP,4463.261402528098,3411833,0
East Porterville,East Porterville CDP,5296048.06042031,5496322,96
East Quincy,East Quincy CDP,11125421.302463995,31368457,35
East Richmond Heights,East Richmond Heights CDP,1357749.6043798022,1501846,90
East Shore,East Shore CDP,2696694.8023904576,3063617,88
East Sonora,East Sonora CDP,5729564.147518182,6334625,90
Eastern Goleta Valley,Eastern Goleta Valley CDP,27889713.272979546,42981068,65
Eastvale,Eastvale city,17284999.02230276,32823713,53
Edgewood,Edgewood CDP,2190662.221449078,2656702,82
Edison,Edison CDP,257975.06913497252,2621330,10
Edna,Edna CDP,3020013.6380424774,3158448,96
Edwards AFB,Edwards AFB CDP,3469054.149223726,44377479,8
El Cajon,El Cajon city,6318690.087237966,37579662,17
El Cerrito,El Cerrito CDP,6331013.947444535,6760749,94
El Cerrito,El Cerrito city,8190058.395528914,9509903,86
El Dorado Hills,El Dorado Hills CDP,95863540.07455954,125511003,76
El Granada,El Granada CDP,12440764.748102657,12739545,98
El Monte,El Monte city,788799.5187715078,24752904,3
El Paso de Robles (Paso Robles),El Paso de Robles (Paso Robles) city,24656610.588179417,50894260,48
El Portal,El Portal CDP,2075564.5437585858,4827205,43
El Rancho,El Rancho CDP,55903.57130354892,55904,100
El Rio,El Rio CDP,143265.08396659614,5263067,3
El Sobrante,El Sobrante CDP,26010362.47551289,8019027,324
El Verano,El Verano CDP,2874777.882352384,2964283,97
Eldridge,Eldridge CDP,1685993.8757306605,1688641,100
Elfin Forest,Elfin Forest CDP,4396806.414167515,5243843,84
Elizabeth Lake,Elizabeth Lake CDP,8983488.642088944,16066199,56.00000000000001
Elk Creek,Elk Creek CDP,1845591.1950951677,3820501,48
Elk Grove,Elk Grove city,59103011.18068479,108760535,54
Elkhorn,Elkhorn CDP,8277486.465402795,12440882,67
Elverta,Elverta CDP,9675944.553708425,22900221,42
Emerald Lake Hills,Emerald Lake Hills CDP,2415812.659642964,3061995,79
Encinitas,Encinitas city,8527602.34567621,49353552,17
Escondido,Escondido city,44287694.18444975,96723121,46
Esparto,Esparto CDP,9350144.46126763,11916729,78
Etna,Etna city,1748285.1243676136,1967952,89
Eucalyptus Hills,Eucalyptus Hills CDP,12264993.483706938,12324306,100
Eureka,Eureka city,9438503.113131966,24698637,38
Exeter,Exeter city,1386656.2780704233,6373810,22
Fair Oaks,Fair Oaks CDP,2979723.372397646,28169829,11
Fairbanks Ranch,Fairbanks Ranch CDP,2052555.5717880903,13195969,16
Fairfax,Fairfax town,5438303.588338449,5770768,94
Fairfield,Fairfield city,55049945.04809121,107719392,51
Fairhaven,Fairhaven CDP,538451.2913355755,1682712,32
Fairmead,Fairmead CDP,2031571.8107495294,20018088,10
Fairview,Fairview CDP,6357355.246691559,7703024,83
Fall River Mills,Fall River Mills CDP,6810782.9339607,6859381,99
Fallbrook,Fallbrook CDP,35343542.582434386,45429891,78
Fellows,Fellows CDP,459508.9225586549,1801266,26
Felton,Felton CDP,10047571.797850097,12017049,84
Ferndale,Ferndale city,2690521.6043223464,3105843,87
Fetters Hot Springs-Agua Caliente,Fetters Hot Springs-Agua Caliente CDP,3753057.150617804,3783771,99
Fiddletown,Fiddletown CDP,10102317.340576421,11797057,86
Fieldbrook,Fieldbrook CDP,13449644.85716968,27111305,50
Fields Landing,Fields Landing CDP,258961.9798368689,716672,36
Fillmore,Fillmore city,6115934.791929678,8553766,71
Fish Camp,Fish Camp CDP,695801.1861053813,1036205,67
Florin,Florin CDP,1886512.763450765,22567765,8
Floriston,Floriston CDP,1391995.6362569164,2459249,56.99999999999999
Folsom,Folsom city,22985052.13998528,72210787,32
Fontana,Fontana city,33820633.98273649,111552124,30
Forbestown,Forbestown CDP,9963136.293611074,16250437,61
Ford City,Ford City CDP,3353533.611581989,3974713,84
Forest Meadows,Forest Meadows CDP,8477330.268657267,9749680,87
Forest Ranch,Forest Ranch CDP,23984082.36726159,36089639,66
Foresthill,Foresthill CDP,16220604.663928416,28969105,56.00000000000001
Forestville,Forestville CDP,13099349.766776355,13615411,96
