FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,STATEFP,PLACEFP,PLACE_FIPS,PLACE_NAME,PLACE_NAME_TYPE,COUNTYFP,CNTY_FIPS,CNTY_NAME,CNTY_NAME_TYPE,Shape_Length,Shape_Area
HOLY,2664,2018-08-06,2018-10-17,9,23025.39648,6,78138,678138,Temescal Valley,Temescal Valley CDP,65,6065,Riverside,Riverside County,75364.10884,93180472.22
HOLY,2664,2018-08-06,2018-10-17,9,23025.39648,6,78138,678138,Temescal Valley,Temescal Valley CDP,59,6059,Orange,Orange County,75364.10884,93180472.22
MURPHY,1500,2018-08-07,2018-10-07,9,117.0755844,6,4856,604856,Belden,Belden CDP,63,6063,Plumas,Plumas County,4079.560606,473788.0788
FERGUSON,745,2018-07-13,2018-11-28,9,96831.22656,6,16886,616886,Crane Creek,Crane Creek CDP,43,6043,Mariposa,Mariposa County,186765.2799,391862066.6
FERGUSON,745,2018-07-13,2018-11-28,9,96831.22656,6,16886,616886,Crane Creek,Crane Creek CDP,109,6109,Tuolumne,Tuolumne County,186765.2799,391862066.6
FERGUSON,745,2018-07-13,2018-11-28,9,96831.22656,6,22328,622328,El Portal,El Portal CDP,43,6043,Mariposa,Mariposa County,186765.2799,391862066.6
FERGUSON,745,2018-07-13,2018-11-28,9,96831.22656,6,22328,622328,El Portal,El Portal CDP,109,6109,Tuolumne,Tuolumne County,186765.2799,391862066.6
FERGUSON,745,2018-07-13,2018-11-28,9,96831.22656,6,86916,686916,Yosemite West,Yosemite West CDP,43,6043,Mariposa,Mariposa County,186765.2799,391862066.6
FERGUSON,745,2018-07-13,2018-11-28,9,96831.22656,6,86916,686916,Yosemite West,Yosemite West CDP,109,6109,Tuolumne,Tuolumne County,186765.2799,391862066.6
NORTH PARK,14671,2018-10-12,2018-10-15,9,34.769062,6,65000,665000,San Bernardino,San Bernardino city,71,6071,San Bernardino,San Bernardino County,2820.234457,140705.4014
CRANSTON,11390,2018-07-25,,7,13229.1582,6,36203,636203,Idyllwild-Pine Cove,Idyllwild-Pine Cove CDP,65,6065,Riverside,Riverside County,91894.50199,53536504.87
CRANSTON,11390,2018-07-25,,7,13229.1582,6,49544,649544,Mountain Center,Mountain Center CDP,65,6065,Riverside,Riverside County,91894.50199,53536504.87
WHALEBACK,3951,2018-08-05,2018-08-06,14,18701.89844,6,73554,673554,Spaulding,Spaulding CDP,35,6035,Lassen,Lassen County,48618.9933,75683897.53
GOLD,30274,2018-06-27,2018-08-03,14,0.4257005,6,47086,647086,Mesa Vista,Mesa Vista CDP,3,6003,Alpine,Alpine County,173.9960304,1722.748708
TUMBLEWEED,2938,2018-06-14,2018-06-19,10,645.4140015,6,41782,641782,Litchfield,Litchfield CDP,35,6035,Lassen,Lassen County,11252.35021,2611897.807
SERRA,,2018-01-29,2018-01-30,14,2.6005576,6,45246,645246,Malibu,Malibu city,37,6037,Los Angeles,Los Angeles County,672.6693129,10524.08318
KNOLLS,,2018-10-19,2018-10-20,4,1.2136852,6,45246,645246,Malibu,Malibu city,37,6037,Los Angeles,Los Angeles County,393.0375171,4911.609378
MARTINEZ,11326,2018-07-25,2018-07-26,14,24.7753258,6,53224,653224,Oasis,Oasis CDP,65,6065,Riverside,Riverside County,1642.816483,100262.1879
PAWNEE,9002,2018-06-23,2018-07-05,9,15196.92188,6,73690,673690,Spring Valley,Spring Valley CDP,11,6011,Colusa,Colusa County,115380.0968,61499761.31
PAWNEE,9002,2018-06-23,2018-07-05,9,15196.92188,6,73690,673690,Spring Valley,Spring Valley CDP,33,6033,Lake,Lake County,115380.0968,61499761.31
RESORT,5781,2018-06-13,2018-06-13,14,12.9572783,6,39670,639670,Lake Nacimiento,Lake Nacimiento CDP,79,6079,San Luis Obispo,San Luis Obispo County,1884.394622,52436.24601
MATTIE,7651,2018-07-17,2018-07-17,10,0.781524,6,57414,657414,Pismo Beach,Pismo Beach city,79,6079,San Luis Obispo,San Luis Obispo County,367.0313717,3162.715525
MARIA,90135,2019-10-31,2019-11-05,14,10042.45898,6,70042,670042,Santa Paula,Santa Paula city,111,6111,Ventura,Ventura County,54480.50793,40640390.13
EASY,89158,2019-10-30,2019-11-13,14,1806.233765,6,49138,649138,Moorpark,Moorpark city,111,6111,Ventura,Ventura County,25527.31688,7309568.857
EASY,89158,2019-10-30,2019-11-13,14,1806.233765,6,72016,672016,Simi Valley,Simi Valley city,111,6111,Ventura,Ventura County,25527.31688,7309568.857
EASY,89158,2019-10-30,2019-11-13,14,1806.233765,6,78582,678582,Thousand Oaks,Thousand Oaks city,111,6111,Ventura,Ventura County,25527.31688,7309568.857
