fips,name,name-cdp,total-housing-units,margin-of-error-total,owner-occupied-units,marin-of-error-owner,renter-occupied,margin-of-error-renter
1600000US0612669,Channel Islands Beach CDP,"Channel Islands Beach CDP, California",2699,558,1307,282,1392,578
1600000US0612730,Charleston View CDP,"Charleston View CDP, California",6,8,6,8,0,13
1600000US0612734,Charter Oak CDP,"Charter Oak CDP, California",9897,1083,6028,831,3869,797
1600000US0612818,Cherokee CDP,"Cherokee CDP, California",100,82,90,87,10,15
1600000US0612860,Cherokee Strip CDP,"Cherokee Strip CDP, California",289,197,78,73,211,211
1600000US0612902,Cherryland CDP,"Cherryland CDP, California",15430,1500,4293,974,11137,1524
1600000US0612916,Cherry Valley CDP,"Cherry Valley CDP, California",7868,1052,6550,975,1318,429
1600000US0612930,Chester CDP,"Chester CDP, California",2050,354,1625,330,425,185
1600000US0613014,Chico city,"Chico city, California",95016,428,45238,1681,49778,1731
1600000US0613077,Chilcoot-Vinton CDP,"Chilcoot-Vinton CDP, California",340,241,340,241,0,13
1600000US0613157,China Lake Acres CDP,"China Lake Acres CDP, California",2450,899,1084,450,1366,775
1600000US0613182,Chinese Camp CDP,"Chinese Camp CDP, California",146,130,130,141,16,25
1600000US0613210,Chino city,"Chino city, California",76753,924,47583,2271,29170,2186
1600000US0613214,Chino Hills city,"Chino Hills city, California",82675,167,61180,2325,21495,2319
1600000US0613278,Choctaw Valley CDP,"Choctaw Valley CDP, California",252,133,185,129,67,97
1600000US0613294,Chowchilla city,"Chowchilla city, California",11358,504,5896,818,5462,809
1600000US0613364,Chualar CDP,"Chualar CDP, California",1413,481,734,373,679,313
1600000US0613392,Chula Vista city,"Chula Vista city, California",266776,292,165103,4978,101673,4927
1600000US0613560,Citrus CDP,"Citrus CDP, California",10080,1062,6830,991,3250,804
1600000US0613588,Citrus Heights city,"Citrus Heights city, California",86987,154,51149,2076,35838,2079
1600000US0613756,Claremont city,"Claremont city, California",31352,489,22212,1163,9140,1036
1600000US0613784,Clarksburg CDP,"Clarksburg CDP, California",366,222,272,200,94,118
1600000US0613854,Clay CDP,"Clay CDP, California",1130,276,980,246,150,181
1600000US0613882,Clayton city,"Clayton city, California",11557,28,10299,526,1258,524
1600000US0613910,Clear Creek CDP,"Clear Creek CDP, California",293,139,173,112,120,96
1600000US0613945,Clearlake city,"Clearlake city, California",15155,81,8365,954,6790,949
1600000US0613966,Clearlake Oaks CDP,"Clearlake Oaks CDP, California",2194,419,1393,308,801,381
1600000US0613985,Clearlake Riviera CDP,"Clearlake Riviera CDP, California",4408,861,3298,936,1110,555
1600000US0614008,Cleone CDP,"Cleone CDP, California",841,282,817,285,24,39
1600000US0614106,Clio CDP,"Clio CDP, California",184,146,111,139,73,71
1600000US0614148,Clipper Mills CDP,"Clipper Mills CDP, California",451,375,153,160,298,421
1600000US0614190,Cloverdale city,"Cloverdale city, California",8786,73,5974,584,2812,595
1600000US0614218,Clovis city,"Clovis city, California",112151,185,74983,2359,37168,2350
1600000US0614232,Clyde CDP,"Clyde CDP, California",737,298,624,260,113,131
1600000US0614260,Coachella city,"Coachella city, California",45658,56,33482,1358,12176,1352
1600000US0614274,Coalinga city,"Coalinga city, California",13655,309,8676,818,4979,813
1600000US0614288,Coarsegold CDP,"Coarsegold CDP, California",4869,893,4460,927,409,307
1600000US0614302,Cobb CDP,"Cobb CDP, California",805,309,644,305,161,138
1600000US0614406,Coffee Creek CDP,"Coffee Creek CDP, California",177,69,153,64,24,24
1600000US0614442,Cohasset CDP,"Cohasset CDP, California",497,251,436,234,61,100
1600000US0614450,Cold Springs CDP (El Dorado County),"Cold Springs CDP (El Dorado County), California",675,259,493,271,182,146
1600000US0614454,Cold Springs CDP (Tuolumne County),"Cold Springs CDP (Tuolumne County), California",0,13,0,13,0,13
1600000US0614484,Coleville CDP,"Coleville CDP, California",353,159,28,32,325,153
1600000US0614498,Colfax city,"Colfax city, California",2258,460,1225,382,1033,289
1600000US0614554,College City CDP,"College City CDP, California",205,158,158,144,47,68
1600000US0614708,Collierville CDP,"Collierville CDP, California",2341,868,1717,807,624,437
1600000US0614736,Colma town,"Colma town, California",1492,273,728,213,764,225
1600000US0614764,Coloma CDP,"Coloma CDP, California",376,276,198,175,178,215
1600000US0614890,Colton city,"Colton city, California",53892,249,29029,1966,24863,1966
1600000US0614904,Columbia CDP,"Columbia CDP, California",1947,316,1405,305,542,232
1600000US0614946,Colusa city,"Colusa city, California",6046,36,3678,471,2368,468
1600000US0614974,Commerce city,"Commerce city, California",12649,88,7505,801,5144,794
1600000US0615030,Comptche CDP,"Comptche CDP, California",142,90,59,66,83,70
1600000US0615044,Compton city,"Compton city, California",95189,197,53653,2587,41536,2590
1600000US0616000,Concord city,"Concord city, California",127989,281,75747,2493,52242,2505
1600000US0616035,Concow CDP,"Concow CDP, California",472,95,340,92,132,80
1600000US0616090,Contra Costa Centre CDP,"Contra Costa Centre CDP, California",6662,682,1463,337,5199,695
1600000US0616210,Copperopolis CDP,"Copperopolis CDP, California",3566,589,3082,596,484,278
1600000US0616224,Corcoran city,"Corcoran city, California",13135,659,5794,742,7341,759
1600000US0616322,Corning city,"Corning city, California",7569,45,4628,701,2941,702
1600000US0616350,Corona city,"Corona city, California",167392,134,108912,3055,58480,3077
1600000US0616378,Coronado city,"Coronado city, California",20895,1694,10347,1027,10548,1223
1600000US0616420,Coronita CDP,"Coronita CDP, California",3945,769,3557,823,388,208
1600000US0616434,Corralitos CDP,"Corralitos CDP, California",2232,616,2057,599,175,131
1600000US0616462,Corte Madera town,"Corte Madera town, California",9793,19,6774,580,3019,581
1600000US0616532,Costa Mesa city,"Costa Mesa city, California",111036,317,46473,2049,64563,2059
1600000US0616560,Cotati city,"Cotati city, California",7469,52,4319,519,3150,511
1600000US0616580,Coto de Caza CDP,"Coto de Caza CDP, California",15509,1402,14173,1488,1336,409
1600000US0616623,Cottonwood CDP (Kern County),"Cottonwood CDP (Kern County), California",3121,736,692,359,2429,641
1600000US0616630,Cottonwood CDP (Shasta County),"Cottonwood CDP (Shasta County), California",5435,1133,4430,1065,1005,440
1600000US0616644,Coulterville CDP,"Coulterville CDP, California",23,44,0,13,23,44
1600000US0616651,Country Club CDP,"Country Club CDP, California",9227,937,5940,947,3287,689
1600000US0616714,Courtland CDP,"Courtland CDP, California",473,420,306,370,167,216
1600000US0616728,Covelo CDP,"Covelo CDP, California",1343,364,951,311,392,176
1600000US0616742,Covina city,"Covina city, California",47351,138,27850,1459,19501,1474
1600000US0616762,Cowan CDP,"Cowan CDP, California",472,427,202,179,270,394
1600000US0616886,Crane Creek CDP,"Crane Creek CDP, California",52,53,52,53,0,13
1600000US0617022,Crescent City city,"Crescent City city, California",4074,297,1541,513,2533,486
1600000US0617050,Crescent Mills CDP,"Crescent Mills CDP, California",70,51,51,56,19,22
1600000US0617078,Cressey CDP,"Cressey CDP, California",243,131,126,64,117,121
1600000US0617106,Crest CDP,"Crest CDP, California",2721,449,2474,436,247,155
1600000US0617162,Crestline CDP,"Crestline CDP, California",9292,1567,6078,884,3214,1374
1600000US0617232,Creston CDP,"Creston CDP, California",31,63,31,63,0,13
1600000US0617267,C-Road CDP,"C-Road CDP, California",90,70,45,46,45,54
1600000US0617274,Crockett CDP,"Crockett CDP, California",3205,393,1993,385,1212,312
