FIPS_Code,County_FIPS_Code,County,State_FIPS_Code,State,value,month,year
06061,061,Placer,06,CA,71767,Feb,2017
06061,061,Placer,06,CA,71893,Mar,2017
06061,061,Placer,06,CA,72113,Apr,2017
06061,061,Placer,06,CA,72232,May,2017
06061,061,Placer,06,CA,72315,Jun,2017
06061,061,Placer,06,CA,72397,Jul,2017
06061,061,Placer,06,CA,72799,Aug,2017
06061,061,Placer,06,CA,73068,Sep,2017
06061,061,Placer,06,CA,73371,Oct,2017
06061,061,Placer,06,CA,73629,Nov,2017
06061,061,Placer,06,CA,73808,Dec,2017
06063,063,Plumas,06,CA,5013,Jan,2017
06063,063,Plumas,06,CA,4997,Feb,2017
06063,063,Plumas,06,CA,4997,Mar,2017
06063,063,Plumas,06,CA,5007,Apr,2017
06063,063,Plumas,06,CA,5017,May,2017
06063,063,Plumas,06,CA,5020,Jun,2017
06063,063,Plumas,06,CA,5018,Jul,2017
06063,063,Plumas,06,CA,5041,Aug,2017
06063,063,Plumas,06,CA,5067,Sep,2017
06063,063,Plumas,06,CA,5079,Oct,2017
06063,063,Plumas,06,CA,5096,Nov,2017
06063,063,Plumas,06,CA,5090,Dec,2017
06065,065,Riverside,06,CA,312069,Jan,2017
06065,065,Riverside,06,CA,312907,Feb,2017
06065,065,Riverside,06,CA,313855,Mar,2017
06065,065,Riverside,06,CA,314738,Apr,2017
06065,065,Riverside,06,CA,315461,May,2017
06065,065,Riverside,06,CA,315924,Jun,2017
06065,065,Riverside,06,CA,315768,Jul,2017
06065,065,Riverside,06,CA,317249,Aug,2017
06065,065,Riverside,06,CA,319119,Sep,2017
06065,065,Riverside,06,CA,320147,Oct,2017
06065,065,Riverside,06,CA,321021,Nov,2017
06065,065,Riverside,06,CA,321687,Dec,2017
06067,067,Sacramento,06,CA,209672,Jan,2017
06067,067,Sacramento,06,CA,210039,Feb,2017
06067,067,Sacramento,06,CA,210500,Mar,2017
06067,067,Sacramento,06,CA,210876,Apr,2017
06067,067,Sacramento,06,CA,211260,May,2017
06067,067,Sacramento,06,CA,211533,Jun,2017
06067,067,Sacramento,06,CA,211276,Jul,2017
06067,067,Sacramento,06,CA,212331,Aug,2017
06067,067,Sacramento,06,CA,213388,Sep,2017
06067,067,Sacramento,06,CA,213978,Oct,2017
06067,067,Sacramento,06,CA,214593,Nov,2017
06067,067,Sacramento,06,CA,214942,Dec,2017
06069,069,San Benito,06,CA,7049,Jan,2017
06069,069,San Benito,06,CA,7064,Feb,2017
06069,069,San Benito,06,CA,7068,Mar,2017
06069,069,San Benito,06,CA,7079,Apr,2017
06069,069,San Benito,06,CA,7093,May,2017
06069,069,San Benito,06,CA,7114,Jun,2017
06069,069,San Benito,06,CA,7113,Jul,2017
06069,069,San Benito,06,CA,7150,Aug,2017
06069,069,San Benito,06,CA,7200,Sep,2017
06069,069,San Benito,06,CA,7199,Oct,2017
06069,069,San Benito,06,CA,7235,Nov,2017
06069,069,San Benito,06,CA,7263,Dec,2017
06071,071,San Bernardino,06,CA,244543,Jan,2017
06071,071,San Bernardino,06,CA,245082,Feb,2017
06071,071,San Bernardino,06,CA,245521,Mar,2017
06071,071,San Bernardino,06,CA,246035,Apr,2017
06071,071,San Bernardino,06,CA,246494,May,2017
06071,071,San Bernardino,06,CA,246913,Jun,2017
06071,071,San Bernardino,06,CA,246816,Jul,2017
06071,071,San Bernardino,06,CA,247988,Aug,2017
06071,071,San Bernardino,06,CA,249697,Sep,2017
06071,071,San Bernardino,06,CA,250356,Oct,2017
06071,071,San Bernardino,06,CA,251143,Nov,2017
06071,071,San Bernardino,06,CA,251574,Dec,2017
06073,073,San Diego,06,CA,433078,Jan,2017
06073,073,San Diego,06,CA,433845,Feb,2017
06073,073,San Diego,06,CA,434929,Mar,2017
06073,073,San Diego,06,CA,435704,Apr,2017
06073,073,San Diego,06,CA,436399,May,2017
06073,073,San Diego,06,CA,436973,Jun,2017
06073,073,San Diego,06,CA,436485,Jul,2017
06073,073,San Diego,06,CA,438525,Aug,2017
06073,073,San Diego,06,CA,441610,Sep,2017
06073,073,San Diego,06,CA,442885,Oct,2017
06073,073,San Diego,06,CA,444179,Nov,2017
06073,073,San Diego,06,CA,444963,Dec,2017
06075,075,San Francisco,06,CA,123648,Jan,2017
06075,075,San Francisco,06,CA,123681,Feb,2017
06075,075,San Francisco,06,CA,123872,Mar,2017
06075,075,San Francisco,06,CA,123927,Apr,2017
06075,075,San Francisco,06,CA,123944,May,2017
06075,075,San Francisco,06,CA,124091,Jun,2017
06075,075,San Francisco,06,CA,123803,Jul,2017
06075,075,San Francisco,06,CA,124259,Aug,2017
06075,075,San Francisco,06,CA,125052,Sep,2017
06075,075,San Francisco,06,CA,125281,Oct,2017
06075,075,San Francisco,06,CA,125462,Nov,2017
06075,075,San Francisco,06,CA,125596,Dec,2017
06077,077,San Joaquin,06,CA,92070,Jan,2017
06077,077,San Joaquin,06,CA,92211,Feb,2017
06077,077,San Joaquin,06,CA,92260,Mar,2017
06077,077,San Joaquin,06,CA,92439,Apr,2017
06077,077,San Joaquin,06,CA,92570,May,2017
06077,077,San Joaquin,06,CA,92792,Jun,2017
06077,077,San Joaquin,06,CA,92658,Jul,2017
06077,077,San Joaquin,06,CA,93094,Aug,2017
06077,077,San Joaquin,06,CA,93630,Sep,2017
06077,077,San Joaquin,06,CA,93897,Oct,2017
06077,077,San Joaquin,06,CA,94195,Nov,2017
06077,077,San Joaquin,06,CA,94366,Dec,2017
06079,079,San Luis Obispo,06,CA,54102,Jan,2017
06079,079,San Luis Obispo,06,CA,54274,Feb,2017
06079,079,San Luis Obispo,06,CA,54406,Mar,2017
06079,079,San Luis Obispo,06,CA,54566,Apr,2017
06079,079,San Luis Obispo,06,CA,54616,May,2017
06079,079,San Luis Obispo,06,CA,54684,Jun,2017
06079,079,San Luis Obispo,06,CA,55542,Jul,2017
06079,079,San Luis Obispo,06,CA,55842,Aug,2017
06079,079,San Luis Obispo,06,CA,56072,Sep,2017
06079,079,San Luis Obispo,06,CA,56292,Oct,2017
06079,079,San Luis Obispo,06,CA,56483,Nov,2017
06079,079,San Luis Obispo,06,CA,56631,Dec,2017
06081,081,San Mateo,06,CA,104120,Jan,2017
06081,081,San Mateo,06,CA,104193,Feb,2017
06081,081,San Mateo,06,CA,104360,Mar,2017
06081,081,San Mateo,06,CA,104424,Apr,2017
06081,081,San Mateo,06,CA,104517,May,2017
06081,081,San Mateo,06,CA,104586,Jun,2017
06081,081,San Mateo,06,CA,104424,Jul,2017
06081,081,San Mateo,06,CA,104839,Aug,2017
06081,081,San Mateo,06,CA,105458,Sep,2017
06081,081,San Mateo,06,CA,105680,Oct,2017
06081,081,San Mateo,06,CA,105822,Nov,2017
06081,081,San Mateo,06,CA,105958,Dec,2017
06083,083,Santa Barbara,06,CA,66457,Jan,2017
06083,083,Santa Barbara,06,CA,66548,Feb,2017
06083,083,Santa Barbara,06,CA,66668,Mar,2017
06083,083,Santa Barbara,06,CA,66775,Apr,2017
06083,083,Santa Barbara,06,CA,66865,May,2017
06083,083,Santa Barbara,06,CA,66943,Jun,2017
06083,083,Santa Barbara,06,CA,65969,Jul,2017
06083,083,Santa Barbara,06,CA,66282,Aug,2017
06083,083,Santa Barbara,06,CA,66669,Sep,2017
06083,083,Santa Barbara,06,CA,66881,Oct,2017
06083,083,Santa Barbara,06,CA,67114,Nov,2017
06083,083,Santa Barbara,06,CA,67207,Dec,2017
06085,085,Santa Clara,06,CA,225746,Jan,2017
06085,085,Santa Clara,06,CA,225957,Feb,2017
06085,085,Santa Clara,06,CA,226373,Mar,2017
06085,085,Santa Clara,06,CA,226343,Apr,2017
06085,085,Santa Clara,06,CA,226512,May,2017
06085,085,Santa Clara,06,CA,226742,Jun,2017
06085,085,Santa Clara,06,CA,226448,Jul,2017
06085,085,Santa Clara,06,CA,227237,Aug,2017
06085,085,Santa Clara,06,CA,228537,Sep,2017
06085,085,Santa Clara,06,CA,228913,Oct,2017
06085,085,Santa Clara,06,CA,229473,Nov,2017
06085,085,Santa Clara,06,CA,229743,Dec,2017
06087,087,Santa Cruz,06,CA,43257,Jan,2017
06087,087,Santa Cruz,06,CA,43405,Feb,2017
06087,087,Santa Cruz,06,CA,43528,Mar,2017
06087,087,Santa Cruz,06,CA,43628,Apr,2017
06087,087,Santa Cruz,06,CA,43763,May,2017
06087,087,Santa Cruz,06,CA,43901,Jun,2017
06087,087,Santa Cruz,06,CA,43899,Jul,2017
06087,087,Santa Cruz,06,CA,44137,Aug,2017
06087,087,Santa Cruz,06,CA,44394,Sep,2017
06087,087,Santa Cruz,06,CA,44574,Oct,2017
06087,087,Santa Cruz,06,CA,44753,Nov,2017
06087,087,Santa Cruz,06,CA,44851,Dec,2017
06089,089,Shasta,06,CA,45056,Jan,2017
06089,089,Shasta,06,CA,45118,Feb,2017
06089,089,Shasta,06,CA,45121,Mar,2017
06089,089,Shasta,06,CA,45145,Apr,2017
06089,089,Shasta,06,CA,45211,May,2017
06089,089,Shasta,06,CA,45211,Jun,2017
06089,089,Shasta,06,CA,45165,Jul,2017
06089,089,Shasta,06,CA,45358,Aug,2017
06089,089,Shasta,06,CA,45536,Sep,2017
06089,089,Shasta,06,CA,45640,Oct,2017
06089,089,Shasta,06,CA,45794,Nov,2017
06089,089,Shasta,06,CA,45792,Dec,2017
06091,091,Sierra,06,CA,773,Jan,2017
06091,091,Sierra,06,CA,776,Feb,2017
06091,091,Sierra,06,CA,779,Mar,2017
06091,091,Sierra,06,CA,778,Apr,2017
06091,091,Sierra,06,CA,780,May,2017
06091,091,Sierra,06,CA,778,Jun,2017
06091,091,Sierra,06,CA,780,Jul,2017
06091,091,Sierra,06,CA,788,Aug,2017
06091,091,Sierra,06,CA,792,Sep,2017
